700;Relational model;"A strict cafeteria: every fact sits in a tray with fixed labeled compartments; trays stack into tables, and no compartment may hold two foods.";Data stored as relations: unordered tables of typed rows and named columns, addressed by value, never by position or pointer.;"CREATE TABLE users (id INT, name TEXT, city TEXT); / Each row is one fact: (7, 'Ada', 'London') / Rows have no inherent order; queries filter by value";"Spreadsheet — sheets address cells by position (B7); relations have no row order or cell coordinates, only values."
701;Primary key;"A hotel front desk: every room has exactly one brass key with a number stamped in; no two rooms share a number, and a blank key with no number is refused.";"Column(s) that uniquely and non-nullably identify each row; every table should have exactly one.";"CREATE TABLE users ( / id BIGINT PRIMARY KEY, / email TEXT);";"UNIQUE constraint — UNIQUE allows NULLs and many per table; a PK is unique + NOT NULL and there is only one per table."
702;Foreign key;"A restaurant coat-check ticket #88 points to hook #88 in another room; the waiter (constraint) refuses to issue a ticket for a hook that doesn't exist — no orphan tickets.";A column holding another table's primary key value, linking child rows to their parent row.;"CREATE TABLE orders ( / id BIGINT PRIMARY KEY, / user_id BIGINT REFERENCES users(id));";"Primary key — the PK lives in the parent and is unique; the FK lives in the child, may repeat, and may be NULL."
703;SELECT FROM WHERE;A fishmonger works right to left: nets the whole lake (FROM), throws back the small fish (WHERE), then fillets only the cuts you ordered (SELECT).;Core query shape: FROM picks tables, WHERE filters rows, SELECT projects columns — logically evaluated in that order.;"SELECT name, email / FROM users / WHERE created_at >= '2026-01-01';";Written order vs logical order — you type SELECT first, but the engine runs FROM, then WHERE, then SELECT.
704;ORDER BY and LIMIT;"A podium ceremony: all marathon finishers are lined up by time (ORDER BY), then only the first three climb the podium (LIMIT 3); everyone else goes home unlisted.";"ORDER BY sorts the result set; LIMIT (with OFFSET) caps how many of the sorted rows come back.";"SELECT name, seconds FROM runners / ORDER BY seconds ASC / LIMIT 3;";"GROUP BY — GROUP BY collapses rows into groups; ORDER BY only rearranges them, the row count is unchanged."
705;GROUP BY aggregation;"You sort a coin heap into labeled jars, then weigh whole jars. You may report a jar's label or its weight — never one particular coin; it melted into the group.";Collapses rows sharing key values into one row per group, so aggregates (COUNT, SUM, AVG) summarize each group.;"SELECT country, COUNT(*), AVG(age) / FROM users / GROUP BY country;";"DISTINCT — DISTINCT only dedupes rows; GROUP BY builds groups you can run aggregates over."
706;HAVING clause;"WHERE is the bouncer screening individual coins at the door; HAVING is a second bouncer who weighs the finished jars and tips out any jar under 100 grams.";"Filters whole groups after aggregation, so its conditions can use aggregate results; WHERE cannot.";"SELECT country, COUNT(*) AS n / FROM users GROUP BY country / HAVING COUNT(*) > 100;";"WHERE — WHERE screens individual rows before grouping; HAVING screens completed groups after aggregation."
707;NULL three-valued logic;A masked stranger at the party: asked 'are you Bob?' they shrug (UNKNOWN). Even two masked strangers side by side cannot confirm they are the same person.;"NULL means unknown: comparisons involving NULL yield UNKNOWN, so NULL = NULL is not true; test with IS NULL.";"SELECT NULL = NULL; -- NULL, not true / SELECT * FROM users WHERE email IS NULL; / WHERE x <> 5 also drops rows where x IS NULL";"Zero or empty string — those are known values; NULL is the absence of a value and poisons any comparison to UNKNOWN."
708;Set operations;"Two families hand in wedding guest lists. UNION merges them and crosses out the duplicate cousin; UNION ALL seats her twice; INTERSECT keeps only names on both lists; EXCEPT strikes everyone the other family invited.";"UNION, INTERSECT and EXCEPT combine two queries' rows vertically; UNION dedupes unless you say UNION ALL.";"SELECT city FROM stores / UNION / SELECT city FROM suppliers; -- UNION ALL keeps dupes";"JOIN — joins glue columns side by side by matching keys; set ops stack rows from column-compatible queries."
709;Declarative queries;"You tell the taxi driver 'the opera house', not turn-by-turn directions; the driver (query planner) knows tonight's traffic and picks the route. EXPLAIN is peeking over his shoulder.";"SQL states what result you want; the optimizer chooses how — access paths, join order, and algorithms.";You write: SELECT * FROM users WHERE age > 30 / Planner decides: index scan vs seq scan, / join algorithm, table order;"Imperative code — loops spell out every step; declarative queries leave the steps to the planner."
710;Inner join;"Speed dating night: only couples whose numbers match on both cards leave together into the results room; wallflowers without a match simply go home unrecorded.";"Pairs rows from two tables where the join condition matches; rows with no partner appear nowhere in the result.";"SELECT o.id, u.name / FROM orders o / JOIN users u ON u.id = o.user_id;";"LEFT JOIN — outer joins keep unmatched rows padded with NULLs; inner join silently drops them."
711;Outer joins;"A generous host: every guest from the left list gets a seat even without a date; the missing partners are cardboard cutouts labeled NULL. FULL OUTER seats both walls of wallflowers.";LEFT, RIGHT and FULL joins keep unmatched rows from one or both sides, filling the missing columns with NULL.;"SELECT u.name, o.id / FROM users u LEFT JOIN orders o ON o.user_id = u.id; / -- users with no orders show o.id = NULL";"Inner join — inner returns only matched pairs; outer preserves the unmatched side(s) with NULL padding."
712;Database index anatomy;"The index at the back of a fat textbook: sorted terms with page numbers. You jump 'polymorphism -> p.412' instead of reading 900 pages; the book itself stays unsorted.";A sorted side structure (usually a B-tree) mapping key values to row locations, turning full scans into O(log n) lookups.;"CREATE INDEX idx_users_email ON users(email); / SELECT * FROM users WHERE email='a@b.c' / -- descends 3-4 index pages, then fetches the row";"Primary key — a logical uniqueness rule (usually backed by an index); an index is the physical lookup structure itself."
713;Composite index leftmost prefix;"A phone book sorts by last name, then first. Finding 'Smith' or 'Smith, John' is instant; finding every 'John' regardless of surname means reading the entire book.";"An index on (a, b) serves filters on a, or on a and b — but not on b alone; column order decides usefulness.";"CREATE INDEX ON people (last_name, first_name); / WHERE last_name='Smith' AND first_name='John' -- uses it / WHERE first_name='John' -- cannot";"Two single-column indexes — separate indexes can't act as one sorted (a,b) structure; order within one index is what matters."
714;Covering index;The index card already has the whole answer written on its back — the librarian answers from the card drawer without ever walking to the filing cabinet.;An index containing every column a query needs, so the engine answers from the index alone — an index-only scan, no table fetch.;"CREATE INDEX ON orders (user_id, status, total); / SELECT status, total FROM orders WHERE user_id = 7; / -- index-only scan: heap never touched";"Composite index — composite is about multiple key columns; covering means the query needs nothing beyond the index."
715;Selectivity;Searching 'female patients' in a maternity ward — the index shrugs, nearly every row matches. Searching one passport number is a needle the index hands you instantly.;"The fraction of rows a predicate keeps; indexes shine when few rows match and lose to full scans when most rows do.";"WHERE passport_no='X99' -- 1 of 10M rows: index wins / WHERE active=true -- 80% of rows: / planner picks a seq scan; the index would thrash";"Cardinality — cardinality counts distinct values in a column; selectivity is the fraction of rows a specific filter passes."
716;EXPLAIN query plan;X-ray glasses for your query: put them on and its skeleton appears — a fat Seq Scan femur right where you swore an index lived.;"Shows the optimizer's chosen plan — scans, join order and algorithms, row estimates; the ANALYZE variant executes and adds real numbers.";"EXPLAIN ANALYZE SELECT * FROM orders WHERE user_id=7; / Seq Scan on orders (cost=0.00..4582 rows=98750) / -- no index used; estimates vs actuals visible";"EXPLAIN vs EXPLAIN ANALYZE — plain EXPLAIN only estimates; ANALYZE really runs the query and reports true times and row counts."
717;Indexes tax writes;An author with twelve secretaries: each sentence he writes, all twelve re-file cards in their own catalogs. A thirteenth catalog makes lookups snappier and his pen heavier.;Every INSERT, UPDATE or DELETE must also maintain each index on the table, so each extra index slows every write.;Table with 6 indexes: / one INSERT = 1 heap write + 6 index updates / Bulk-load trick: drop indexes, load, rebuild;"'Indexes always help' — they help the reads that use them; every write pays for all of them whether used or not."
718;N+1 query problem;"A waiter takes a 30-guest table's order, then makes thirty separate sprints to the bar, one drink per trip, instead of one loaded tray. The kitchen is fine; the hallway is the bottleneck.";Code fetches a list with one query, then loops issuing one query per item — N+1 round trips instead of one join or batched query.;users = q('SELECT * FROM users') # 1 / for u in users: / q('SELECT * FROM orders WHERE user_id=%s', u.id) # +N;"Slow query from a missing index — each N+1 query may be fast; the killer is round-trip count, fixed by eager loading or IN-batching, not an index."
719;Join algorithms;"Pairing socks three ways: hold each sock against every other (nested loop); toss them into color bins and match within bins (hash); or sort both piles and zip down them in step (merge).";Engines match rows via nested loop (small or indexed inner), hash join (big unsorted inputs), or merge join (both inputs sorted).;Nested loop: outer 10 rows, inner has index / Hash: build hash of small table, probe with big / Merge: both sorted on key, single zip pass;"Join types (INNER/LEFT) — types define which rows belong in the result; algorithms only define how the engine finds them."
