500;Concurrency vs parallelism;One barista juggling five orders by switching between them, versus five baristas each pulling an espresso shot at the same instant.;"Concurrency structures a program to handle many tasks at once; parallelism actually executes tasks simultaneously on multiple cores.";1 core, 4 threads: concurrent, not parallel / 4 cores, 4 threads: parallel;"Parallelism alone — parallelism requires simultaneous execution; concurrency only requires interleaved progress."
501;Process;A sealed apartment: its own walls, fridge, and mailbox — neighbors cannot reach in without formally knocking (IPC).;An OS-level running program with its own private address space, file handles, and at least one thread.;"p = multiprocessing.Process(target=work) / p.start(); p.join()";"Thread — threads share their process's memory; processes are isolated from each other."
502;Thread;Roommates in one apartment: shared kitchen (heap), but each keeps a private diary (stack) and their own finger on their own page (PC).;"A schedulable execution stream inside a process; threads share the heap but each has its own stack and program counter.";"t = threading.Thread(target=work) / t.start(); t.join()";"Process — a process owns its memory; a thread borrows its enclosing process's memory."
503;Context switch cost;A chef yanked mid-recipe to another kitchen: pack every pan (registers), and the new oven is stone cold (cache).;Swapping the CPU between threads costs saving/restoring registers plus lost cache and TLB warmth — microseconds each, ruinous in bulk.;10k threads ping-ponging: throughput collapses / vmstat 'cs' column counts switches/sec;"Function call — a call stays within one thread; a context switch swaps the entire execution state."
504;Green threads;Toy soldiers on little green plastic bases marching around inside the house: city hall (the kernel) never knows they exist.;Threads scheduled by a language runtime in user space, invisible to the OS kernel — very cheap to create and switch.;gevent.spawn(handler) # user-space thread / Erlang: millions of processes per VM;"OS thread — the kernel schedules OS threads; the runtime schedules green threads, so one blocking syscall can stall many."
505;Goroutine;'Go!' — a starter pistol cracks and ten thousand tiny runners sprint off, sharing five lanes (OS threads) by hopping between them.;Go's lightweight coroutine: starts with a ~2KB growable stack and is multiplexed M:N onto a few OS threads by Go's scheduler.;go fetch(url) // spawns in microseconds / stacks grow and shrink on demand;"OS thread — a goroutine costs kilobytes and is runtime-scheduled; an OS thread costs megabytes of stack and kernel switches."
506;GIL;A single karaoke microphone in a pit of pythons: many singers coiled and ready, but only the snake holding the mic makes any sound.;CPython's Global Interpreter Lock lets only one thread execute Python bytecode at a time, so threads give no CPU-bound speedup.;4 CPython threads of pure math: ~1x speedup / use multiprocessing for CPU-bound work;"Mutex on your data — the GIL protects the interpreter's internals, not your logic; your own races still exist between bytecodes."
507;Preemptive vs cooperative scheduling;A referee's whistle yanks players off the field mid-stride (preemptive) versus dancers who leave the floor only when they choose to bow out (cooperative).;"Preemptive schedulers interrupt tasks at any moment via timer; cooperative tasks run until they voluntarily yield control.";OS thread: preempted by timer interrupt / asyncio task: runs until an await;Concurrency vs parallelism — scheduling style says when control changes hands, not how many tasks truly run at once.
508;Thread lifecycle & join;"A relay runner waits at the line, palm out, until the teammate slaps it (join); ghost runners (daemons) simply vanish when the stadium lights cut.";"A thread is created, started, runs, terminates; join() blocks the caller until it finishes, and daemon threads die with the process.";t.start() / t.join(timeout=5) / Thread(target=f, daemon=True);"join vs sleep — join waits for a specific thread's completion; sleep waits a blind wall-clock interval."
509;CPU-bound vs I/O-bound;A mathematician sweating over a chalkboard (CPU-bound) beside a fisherman dozing while ten lines wait for bites (I/O-bound).;"CPU-bound work is limited by computation and wants parallel cores; I/O-bound work mostly waits on the outside world and wants concurrency.";CPU-bound: video encode -> multiprocessing / I/O-bound: 100 HTTP calls -> asyncio or threads;"Concurrency vs parallelism — bound-type describes the workload; concurrency/parallelism describe the execution strategy you pick for it."
510;Race condition;"Two Black Friday shoppers sprint for the last TV; who wins hangs on a shoelace, and the store's inventory books end up wrong either way.";A bug where correctness depends on the timing or interleaving of concurrent operations — some orderings work, others corrupt state.;"bal = get(); set(bal + 100) / two concurrent deposits: one vanishes";"Data race — a data race is one low-level cause; race conditions can exist even when every access is individually synchronized."
511;Data race;Two painters slapping different colors onto the same fence plank at the same instant — the plank dries a smeared, illegal color no can ordered.;Two threads access the same memory location unsynchronized with at least one write — undefined behavior in C/C++/Go memory models.;counter++ from two goroutines / go run -race . -> DATA RACE report;"Race condition — data race = unsynchronized memory access; race condition = timing-dependent logic bug. Each can occur without the other."
512;Shared mutable state;One whiteboard in a room of scribbling interns, everyone erasing each other's numbers mid-calculation.;"Data that multiple threads can both read and write — the root enabler of races; remove either sharing or mutation and races vanish.";global cache = {} # touched by all threads / fix: pass messages or freeze the data;"Global variable — a single-threaded global is merely ugly; shared mutable state across threads is actively dangerous."
513;Critical section;A gas-station restroom with one key chained to a huge wooden paddle: whoever holds the paddle is provably alone inside.;A code region touching shared state that must be executed by at most one thread at a time.;with lock: / shared_list.append(item) # critical section;"Mutex — the mutex is the mechanism; the critical section is the code region the mutex protects."
514;Non-atomic increment;Updating a scoreboard by carrying the number card to a back desk, penciling +1, and carrying it back — meanwhile someone swapped the board.;x += 1 is really read, add, write — three machine steps another thread can interleave between, silently losing counts.;counter += 1 # LOAD, ADD, STORE / 2 threads x 1M increments: total < 2M;Atomic add — fetch_add performs the whole read-modify-write as one indivisible hardware step.
515;Lost update;Two clerks photocopy the same ledger page, each pencils in a different deposit, and the last one to re-file replaces the other's page entirely.;Two concurrent read-modify-write cycles overlap, and the later write silently overwrites the earlier one's change.;T1: read 100, write 110 / T2: read 100, write 105 -> the +10 is gone;"Torn read — a torn read sees half-updated data; a lost update destroys a whole committed change."
516;Check-then-act (TOCTOU);You glance at a green walk light, look down at your phone, then step off the curb — the light changed inside your glance-to-step gap.;State verified by a check can change before the act that relies on it — the time-of-check to time-of-use gap is a race window.;if not os.path.exists(f): open(f, 'w') / # attacker swaps in a symlink between the two;"Lost update — TOCTOU acts on a stale check; lost update overwrites a concurrent write. Fix both by fusing check+act into one atomic step."
517;Torn read/write;Ripping a photo mid-swap: the top half shows the new face, the bottom half the old one — a hybrid monster nobody ever photographed.;A multi-word value accessed non-atomically can be observed half-updated — new high bits paired with old low bits.;64-bit store on a 32-bit CPU = two writes / reader sees hi(new) | lo(old);"Stale read — a stale value truly existed at some earlier time; a torn value never existed at any time."
518;Happens-before;A courier chain of wax-sealed handoffs: only letters sealed into the bag BEFORE the handoff are guaranteed to ride in the next courier's satchel.;"The memory-model relation that guarantees one action's effects are visible to another; without an edge, ordering and visibility are undefined.";unlock(m) happens-before the next lock(m) / t.start() h-b all actions inside t;"Wall-clock order — happening earlier in real time proves nothing; only synchronization edges create happens-before."
519;Thread interleaving;Two card sharks riffle-shuffling their decks together: every shuffle lands a different merge, and one poisoned ordering somewhere in the trillions loses the house.;"A concurrent run is one of exponentially many possible orderings of the threads' steps; the program is correct only if EVERY interleaving is.";T1 reads x=0 / T2 reads x=0 / both write 1 - one increment lost in this interleaving;"vs data race (511): a race is the bad outcome; interleaving is the underlying nondeterministic scheduling model | cf. 928 Heisenbug: observing shifts which interleaving you get"
520;Mutex;A restroom key chained to your own belt loop: you carry it in, and only you can hang it back — nobody else may return your key.;A mutual-exclusion lock with an owner: the thread that locks it must be the one to unlock it, admitting one holder at a time.;lock = threading.Lock() / with lock: / update_shared();"Semaphore — a mutex has an owner and count 1; a semaphore is an ownerless counter that any thread may signal."
521;Semaphore;"A parking garage sign counting free spots down and up; the exit gate never checks which car took which spot.";A counter of permits: acquire decrements and blocks at zero, release increments — and any thread may release, not just acquirers.;sem = threading.Semaphore(3) / with sem: / call_rate_limited_api();"Mutex — semaphores count anonymous permits; a mutex is a single owned lock. Semaphore(1) still lacks ownership."
522;Monitor;A monitor lizard guarding a one-door meeting hut, with a shaded waiting bench outside for members whose agenda item is not ready yet.;A construct bundling a lock with condition variables so an object's methods run mutually exclusive and can wait on state changes.;"Java: synchronized(obj) { obj.wait(); } / every Java object is a monitor";Mutex — a monitor is mutex + condition variables + the protected data, packaged as one abstraction.
523;Condition variable;A deli 'now serving' bell: customers doze on benches holding no counter space (lock released) until the bell wakes whoever's number is up.;A wait/notify queue tied to a lock: waiters atomically release the lock and sleep until another thread signals the condition.;"with cv: / while not ready: cv.wait() / with cv: ready = True; cv.notify()";"Semaphore — a semaphore remembers releases as stored permits; a notify with no waiter present is lost forever."
524;Spurious wakeup;You jolt awake certain the doorbell rang — nobody's there. Ever since, you always check the peephole (recheck the predicate) before opening.;A condition-variable wait may return with no signal sent, so the predicate must be rechecked in a while loop, never a bare if.;while not queue: # never 'if' / cv.wait();"Lost wakeup — spurious is waking without a signal; lost is a signal fired before anyone was waiting."
525;Reentrant lock;A hand stamp at a club: the stamped regular re-enters through any inner door while the bouncer just ticks a tally per pass.;"A lock its current owner may re-acquire recursively; it counts nested acquisitions and frees only when the count returns to zero.";rl = threading.RLock() / with rl: / with rl: pass # same thread, fine;Plain mutex — a non-reentrant lock deadlocks its own owner on the second acquire.
526;Read-write lock;A museum gallery: unlimited visitors may look at the painting together, but the restorer works alone behind a fully cleared rope.;A lock granting either many concurrent readers or one exclusive writer — a big win for read-heavy shared data.;"rw = ReentrantReadWriteLock() // Java / rw.readLock() many; rw.writeLock() one";"Mutex — a mutex needlessly serializes readers too; RW locks parallelize reads but risk writer starvation."
527;Lock granularity;One giant padlock on the whole warehouse versus a tiny padlock on every drawer — pickers fly, but the janitor now carries 500 keys.;"How much data one lock covers: coarse locks are simple but serialize everything; fine locks scale but multiply deadlock risk.";one lock per table vs per row / ConcurrentHashMap: striped per-bucket locks;"Contention — granularity is the design choice; contention is the symptom that too-coarse granularity causes."
528;Lock contention;Six checkout lanes built, but everyone must pay at the single cigarette counter — full carts idle in one long snaking line.;Many threads competing for the same lock turn parallel hardware into a serialized queue plus context-switch overhead.;profile: 80% of time in futex_wait / fix: shard the lock or shrink the section;"Deadlock — contention is slow progress through a bottleneck; deadlock is zero progress forever."
529;Lock guard (RAII);A retractable dog leash bolted to your belt: however wildly the walk ends — trip, sprint, or faint — the leash reels itself back in.;Acquire a lock through a scoped construct that guarantees release on every exit path, including exceptions.;with lock: / risky() # released even if this raises;Manual lock/unlock — one forgotten unlock on an exception path leaks the lock and hangs the whole app.
530;Deadlock;Two overly polite movers wedged in a doorway, each gripping a box the other needs to set down first — statues at rush hour.;Two or more threads each hold a resource another needs and wait in a cycle forever — none can ever proceed.;"T1: lock(A); lock(B) / T2: lock(B); lock(A) # both freeze";"Livelock — deadlocked threads sleep blocked and idle; livelocked threads burn CPU while achieving nothing."
531;Coffman conditions;"A four-legged card table sagging under coffee (Coffman) cups; kick away any single leg and the whole deadlock crashes to the floor.";Deadlock requires all four: mutual exclusion, hold-and-wait, no preemption, circular wait — break any one and deadlock is impossible.;prevention = negate one condition / e.g. lock ordering kills circular wait;"Deadlock detection — the four conditions say when deadlock CAN form; detection finds when it HAS formed."
532;Lock ordering;Mountaineers who must clip carabiners strictly in the order 1, 2, 3 up the cliff face — no rope can ever loop back into a circle.;Impose a global order on locks and always acquire in ascending order — circular wait becomes structurally impossible.;"lo, hi = sorted([a, b], key=id) / lock(lo); lock(hi)";"Try-lock with backoff — ordering prevents deadlock by construction; try-lock detects a clash and retreats after the fact."
533;Deadlock avoidance;A cautious banker who approves your loan only after proving that even if EVERY customer maxes out at once, the vault still covers them all.;Grant a resource request only if the resulting state stays safe — Banker's algorithm simulates worst-case maximum needs first.;Banker's algorithm (Dijkstra) / request denied if state would be unsafe;"Prevention — prevention breaks a Coffman condition permanently by design; avoidance re-checks safety at every runtime request."
534;Deadlock detection & recovery;A traffic helicopter spots the gridlock circle downtown and radios for one car to be towed (the victim) so the whole ring can flow again.;Let deadlocks happen, find cycles in the wait-for graph, then recover by aborting a victim or preempting its resources.;"MySQL: Deadlock found; transaction rolled back / jstack prints the lock cycle";"Avoidance — avoidance refuses unsafe requests up front; detection cleans up after the cycle has already formed."
535;Livelock;Two people in a corridor mirroring each other's polite sidesteps forever — dancing, sweating, and going absolutely nowhere.;Threads stay active and keep reacting to each other yet make no progress — perpetual, perfectly synchronized mutual yielding.;both release and retry on conflict, in sync / fix: randomized backoff;"Deadlock — livelocked threads run hot and busy; deadlocked threads sleep blocked. Both make zero progress."
536;Starvation;The shortest kid at the buffet: the line never technically stops moving, but taller elbows sweep every fresh tray before he can reach one.;A ready-to-run thread is perpetually denied CPU or resources because other threads always win the competition.;"readers keep arriving; the writer waits forever / low-priority thread never scheduled";"Deadlock — a starved thread could run if ever chosen; a deadlocked thread cannot run under any schedule."
