200;Big-O notation;A huge inflatable letter O hangs as a ceiling over a sprinter: however wild the crowd (input) grows, she never jumps above the hoop.;"Asymptotic upper bound on growth: f is O(g) if f(n) <= c*g(n) for all large n; constants and lower-order terms are dropped.";3*n**2 + 50*n + 7 is O(n**2) / # constants and lower-order terms dropped;"Theta - Big-O is only a ceiling; Theta pins growth from both sides."
201;O(1) constant time;A vending machine: punch B4, one clunk, snack drops. The warehouse behind it could hold a million snacks - still one clunk.;Runtime independent of input size: the same fixed number of steps whether n is 10 or 10 billion.;x = arr[42] / d[key] = value # dict insert, avg O(1);Amortized O(1) - rare operations cost more but the average stays constant (list append during resize).
202;O(log n) logarithmic time;A phone book ripped in half again and again: 1000 pages become one page in ten savage rips, confetti everywhere, answer found.;One extra step each time n doubles: halving strategies take log2(n) steps - 1 million items in ~20, 4 billion in ~32.;while n > 1: n //= 2 # runs log2(n) times / # 1_000_000 -> ~20 halvings;O(n log n) - that pays a log-cost step for EVERY one of n items, not once.
203;O(n) linear time;A toll booth on a one-lane bridge: every single car must slow, pay, pass. Twice the convoy, twice the wait - you watch each bumper crawl by.;"Runtime proportional to input size: touch each of n items a constant number of times; double the data, double the time.";total = 0 / for x in arr: total += x;"O(log n) - linear must visit every item; logarithmic skips whole halves untouched."
204;O(n log n) linearithmic time;A stadium of n fans where every fan must climb a short log-spiral staircase to their seat: everyone climbs, but the stairs stay mercifully stubby.;"n items each paying a log n toll - the cost of optimal comparison sorting; only slightly steeper than linear in practice.";arr.sort() # Timsort, O(n log n) / # n=1M: ~20M steps, vs 10^12 for n^2;O(n^2) - at n=1M, n log n does ~n*20 work while n^2 does n*1,000,000.
205;O(n^2) quadratic time;"A party where every guest must clink glasses with every other guest: 10 guests, a quick toast; 1000 guests, shattered glass till dawn.";"Runtime grows with the square of n, typical of nested loops comparing all pairs; double n, quadruple time.";for i in range(n): / for j in range(n): / check(a[i], a[j]);"O(n log n) - nested loops over all pairs are quadratic; smart divide-and-merge is linearithmic."
206;Exponential and factorial time;"Rice doubling on each chessboard square buries the kingdom by square 64; then a maniac demands to taste the grains in every possible ORDER, and the court faints with a '!'.";"O(2^n) doubles with each added element (all subsets); O(n!) multiplies by n (all orderings); both explode past n around 20.";subsets of n items: 2**n / math.factorial(20) # > 2.4e18 orderings;"Polynomial time - doubling n only squares or cubes the cost; exponential blows up from adding a SINGLE element."
207;Best, average, worst case;Three commute reports for one road: a dreamy Sunday drive (best), typical Tuesday traffic (average), and the day a parade blocks everything (worst). Same road, three clocks.;"The same algorithm costs differently by input: quicksort averages n log n but worst-cases n^2; always state which case a bound describes.";quicksort: avg O(n log n), worst O(n^2) / hash lookup: avg O(1), worst O(n);"Big-O vs cases - O/Omega/Theta are bound TYPES; best/avg/worst are which SCENARIO you bound. You can give the Big-O of a best case."
208;Omega and Theta bounds;A trash compactor: the Omega floor rises, the Big-O ceiling drops, and when they meet the algorithm is squeezed Theta-tight - Theta is literally an O with a bar jammed through it.;"Omega(g) is an asymptotic floor (at least this much work); Theta(g) is tight - the function is both O(g) and Omega(g).";any comparison sort: Omega(n log n) / mergesort: Theta(n log n) # tight;"Big-O - casual speech says O(n log n) meaning Theta; strictly O only promises 'no worse than'."
209;Space complexity;"A chef whose speed depends on counter space: the mergesort chef wheels in an entire second countertop (O(n)); the in-place chef juggles pans over one burner (O(1)).";"Memory an algorithm needs beyond its input, measured asymptotically; includes the recursion stack, and often trades against time.";mergesort: O(n) extra buffer / recursive DFS: O(depth) stack / memoized fib: O(n) cache;"Auxiliary vs total space - auxiliary excludes the input itself; 'in-place' means O(1) auxiliary."
210;Linear search;Lost keys: you pat every pocket in order, coat to jeans, one by one. No shortcut exists, but it works even when your pockets are pure chaos.;"Scan items one by one until the target appears or the list ends; O(n), needs no ordering - the only option on unsorted data.";for i, x in enumerate(arr): / if x == target: return i / return -1;"Binary search - O(log n) but demands sorted data; linear works unsorted at O(n)."
211;Binary search;Dictionary word hunt: flip open dead center - 'M... my word starts with T' - rip away the left half and repeat. Ten rips find any word.;"On sorted data, compare the middle element and discard the half that cannot contain the target; O(log n) halvings.";m = (lo + hi) // 2 / if a[m] < t: lo = m + 1 / elif a[m] > t: hi = m - 1 # else found;"Binary search tree - same halving idea, but the BST is a data structure; binary search is an algorithm over a sorted array."
212;Binary search invariant;Two sheepdogs named Lo and Hi guard a shrinking pen sworn to hold the black sheep. Each bark moves a fence strictly inward - but never past the sheep.;"The loop promise: if the target exists, it lies in [lo, hi]; every branch must shrink the range while keeping that promise, or you loop forever.";# invariant: target in a[lo..hi] if present / # a[m] < t rules out a[..m], so lo = m+1 keeps it / # empty range (lo > hi) proves absence;"Off-by-one bugs - mixing lo < hi with hi = m-1, or lo <= hi with hi = m, blends two invariant styles; pick one and stay loyal."
213;Midpoint overflow bug;Two elephants, Lo and Hi, both step onto one tiny seesaw to find its middle - it snaps under their combined weight. Measure the GAP between them and walk half instead.;"In fixed-width integers, mid = (lo+hi)/2 overflows when lo+hi exceeds the max; write lo + (hi-lo)/2 instead (Python ints are immune).";mid = lo + (hi - lo) // 2 # safe / # Java bug: int mid = (lo + hi) / 2 overflows near 2^31;Integer truncation - a different mid subtlety: floor division biases mid low, causing infinite loops in lo = mid style searches.
214;bisect_left vs bisect_right;"A velvet rope with twin ushers holding signs: Lefty slips you in BEFORE everyone who ties with you; Righty makes you queue AFTER all your ties.";"Boundary binary searches: bisect_left gives the first index with a[i] >= x, bisect_right the first with a[i] > x; equal keys sit between them.";"from bisect import bisect_left, bisect_right / a = [1,3,3,3,5]; bisect_left(a,3) # 1 / bisect_right(a,3) # 4 -> count of 3s = 3";"Plain binary search - returns ANY matching index; the bisect pair pins the exact boundary of the equal run and gives insert points when absent."
215;Binary search on answer;Goldilocks with a thermostat: everything below some temperature is 'too cold', everything above is 'fine' - so she halves guesses on the DIAL instead of tasting every porridge in the room.;When feasibility is monotonic in a numeric answer (too small fails, big enough works), binary search candidate answers and test each guess.;# Koko bananas: search speed k in [1, max(pile)] / # feasible(k) = hours(k) <= H, monotonic in k / # answer = smallest k with feasible(k) True;Binary search on index - here the halved axis is the space of candidate ANSWERS, not positions in stored data.
216;Rotated array search;A clock face someone spun so it reads 7,8,9,...,6: slice it anywhere and one arc still reads in order. Trust the orderly arc to navigate.;"A sorted array rotated at a pivot still has one sorted half at every mid; identify it, test whether the target lies inside, recurse into the right piece.";if a[lo] <= a[m]: # left half sorted / if a[lo] <= t < a[m]: hi = m - 1 / else: lo = m + 1;"Finding the rotation point (minimum) - a separate binary search; with duplicates the worst case degrades to O(n)."
217;Two pointers;"Two workers rolling up a huge carpet from opposite ends; whichever roll is too light rolls further inward, until they meet exactly over the lost ring.";"Two indices sweep the data - from both ends or at different speeds - shrinking the search space each step; turns many O(n^2) pair scans into O(n).";l, r = 0, len(a) - 1 # a sorted / if a[l] + a[r] < k: l += 1 / elif a[l] + a[r] > k: r -= 1 # else: found pair;"Sliding window - a window is two pointers moving the SAME direction bounding a contiguous range; classic two pointers converge from the ends."
