100;Array;An egg carton nailed flat to a shelf: twelve identical cells touching side by side, each cell with a number painted on it.;A fixed-size sequence of elements stored contiguously in memory, each slot the same size and directly addressable by index.;a = [10, 20, 30] / a[1] # 20, direct slot access;"Linked list - array elements are physically adjacent in memory; list nodes are scattered and connected by pointers."
101;O(1) index arithmetic;You whisper 'base plus five times eight' and teleport straight to locker 5 - no walking past lockers 0 through 4.;Element i lives at base_address + i * element_size, so any index is reached in one arithmetic step regardless of array length.;addr = base + i * 8 / x = a[500000] # same speed as a[0];"Linked list traversal - indexing an array is one multiplication; reaching list node i takes i pointer hops."
102;Dynamic array;A hermit crab: when its shell (capacity) gets tight, it finds a bigger shell, hauls every belonging over, and abandons the old one.;An array wrapper tracking size and capacity that allocates a bigger block when full - a resizable list on contiguous storage.;lst = [] / for i in range(1000): lst.append(i) # grows itself;"Static array - a dynamic array reallocates and copies to grow; a static array's size is fixed at creation."
103;Geometric growth factor;A bakery that doubles its oven every time it sells out: 8 loaves, 16, 32 - soon oven upgrades almost never happen.;When full, capacity is multiplied by a constant (~1.5-2x), making reallocations exponentially rarer as the array grows.;capacity: 4 -> 8 -> 16 -> 32 / # C++ vector ~2x, CPython list ~1.125x;"Fixed-increment growth (+k slots) - that costs O(n^2) total copying; multiplying keeps total copy work O(n)."
104;Amortized O(1) append;A mortgage: one huge house price paid off in tiny monthly installments - each append pays a small installment toward the rare big copy.;Occasional O(n) resize copies are spread across the many cheap appends before them, averaging to constant time per append.;"lst.append(x) # usually O(1) / # rare resize copies all n; prior appends prepaid it";Worst-case O(1) - amortized permits single expensive operations as long as any sequence averages out constant.
105;Insert/delete shift cost;Squeezing into the middle of a packed movie-theater row: every single person to your right must stand up and shuffle one seat over.;Inserting or removing at position i must shift every later element one slot, costing O(n - i), i.e. O(n) in general.;lst.insert(0, x) # shifts every element right / lst.pop(0) # shifts every element left;"Linked list insert - with a node reference in hand a list splices in O(1); an array must physically shift neighbors."
106;Slice vs view;"The baker's counter: a Python slice is a cut slab you take home; a NumPy slice is a window in the bakery glass - poke it and the original loaf dents.";"start:stop:step selects a subrange; Python list slicing copies it, while NumPy/Go slices are views sharing the underlying buffer.";"b = a[2:5] # Python: independent copy / v = np_arr[2:5]; v[0] = 9 # NumPy view mutates original";"Copy vs view - a view aliases the same memory so writes leak through; a slice copy is fully independent."
107;Row-major layout;Reading a book: you finish an entire line before dropping to the next - each row's words lie side by side on the page. (Fortran reads totem poles: column-major.);2D arrays flatten row after row: element (r,c) sits at index r * ncols + c, so sweeping along a row is cache-friendly.;flat = r * ncols + c / # fast loop order: for r: for c: a[r][c];Column-major (Fortran, MATLAB) - there columns are contiguous and (r,c) maps to c * nrows + r.
108;Capacity vs length;An egg carton with 12 cups (capacity) holding 7 eggs (length): five more eggs fit before you must buy a bigger carton.;"Length counts stored elements; capacity counts allocated slots - appends stay cheap until length reaches capacity and triggers a resize.";s := make([]int, 3, 10) // Go: len=3 cap=10 / s = append(s, 1) // no realloc until cap hit;"Reserve vs resize - reserve grows capacity only; resize changes length, actually creating or destroying elements."
109;Preallocation (reserve);Booking the whole banquet hall before guests trickle in, instead of bolting on a new dining room every time ten more arrive.;Requesting the expected capacity up front eliminates repeated grow-and-copy cycles when the final size is known in advance.;buf = [0] * n # preallocate n slots / v.reserve(n) # C++ vector;"Amortized growth - amortization makes unplanned resizes cheap on average; reserve removes them entirely when n is known."
110;Linked list;A scavenger hunt: each clue (node) holds a prize plus directions to the next clue's hiding spot - lose one clue and the rest of the trail is gone forever.;"A chain of nodes, each holding a value plus a pointer to the next node; the whole structure is reached from a head reference.";"class Node: / def __init__(self, v): self.val, self.next = v, None / head = Node(1); head.next = Node(2)";"Array - an array is one contiguous block indexed by arithmetic; a list is scattered nodes reached by following pointers."
111;Singly vs doubly linked;Train cars coupled at both ends: from any car you can walk toward engine or caboose, and uncoupling one car just re-hooks its two neighbors.;Doubly linked nodes carry prev and next pointers, buying backward traversal and O(1) removal of a known node for extra memory per node.;node.prev.next = node.next # O(1) unlink / node.next.prev = node.prev;"Singly linked deletion - deleting a known singly node needs an O(n) walk to find its predecessor; doubly carries prev with it."
112;O(1) head insert/delete;Cutting to the front of a conga line: grab the leader's shoulders and you are the new head - the thousand dancers behind never move their feet.;Prepending or removing at the head rewires only the head pointer and one node link - constant time however long the list is.;new = Node(v) / new.next = head / head = new;"Array prepend - lst.insert(0, x) shifts every element; a list head insert touches exactly two pointers."
113;Sequential access O(n);A cave system with no map: to reach the fifth chamber you must crawl through chambers one, two, three, and four - teleporting is impossible.;No index arithmetic exists: reaching item i means hopping node to node from the head, costing O(i) - the price paid for cheap splicing.;cur = head / for _ in range(i): cur = cur.next;"Array indexing - a[i] is one address computation; list access to position i is i pointer dereferences."
